path	disposition	reason
conformance/interfaces/shm_open/9-1.c	exclude-stub	effective test has no PASS path and returns PTS_UNTESTED
conformance/interfaces/sigaction/28-1.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-10.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-11.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-12.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-13.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-14.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-15.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-16.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-17.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-18.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-19.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-2.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-20.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-21.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-22.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-23.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-24.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-25.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-26.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-3.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-4.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-5.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-6.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-7.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-8.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigaction/28-9.c	runtime-path	signal-handler path exits PTS_UNTESTED while the normal assertion can PASS or FAIL
conformance/interfaces/sigqueue/12-1.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/sigqueue/3-1.c	runtime-path	credential or required-user branch returns PTS_UNTESTED while the assertion can PASS or FAIL
conformance/interfaces/timer_getoverrun/2-3.c	runtime-path	missing realtime-signal support returns PTS_UNTESTED while the enabled assertion can PASS or FAIL
conformance/interfaces/timer_getoverrun/3-1.c	exclude-stub	source says DELAYTIMER_MAX is too large to test and returns PTS_UNTESTED
